SMILES,n,chemical_name
c1ccc2c(c1)NCCCN2,1,"2,3,4,5-tetrahydro-1h-1,5-benzodiazepine"
C1=C[C@H]2C[C@]3(C=CCC3C1)CC[C@H]1C[C@@H]21,1,chemical name not found
C1C[N+]2CCC1CC2,1,chemical name not found
C1CN[C@@H]2CNCCNCCN[C@@H]3CN[C@H](CNCCN4CCC[C@H]4CNCCN[C@H](CNCCNCCNCCSSC3)CSSC2)CSSC1,1,chemical name not found
C1C[C@H]2CNCCNCCNCCNCCNCCN2C1,1,chemical name not found
c1ccc2c(c1)Cc1ccccc1-2,1,9h-fluorene
C1CSCS1,1,"1,3-dithiolane"
C1=C\[C@H]2CC2NC[C@@H]2CCC[C@H]2CNCCCC/1,1,chemical name not found
C1CC[C@H]2C[C@H]3COC[C@H]3C[C@@H]2C1,1,chemical name not found
c1ccc2c(c1)NCCO2,1,"3,4-dihydro-2h-1,4-benzoxazine"
c1ccc2c(c1)OCCO2,1,"2,3-dihydro-1,4-benzodioxine"
c1cc2c3c(c1)O[C@H]1CCCC4[C@@H](C2)NCC[C@@]341,1,chemical name not found
C1CO[C@H]2CNC[C@@H]2N1,1,chemical name not found
c1nc2c(s1)CNCC2,1,"4,5,6,7-tetrahydro-[1,3]thiazolo[5,4-c]pyridine"
c1ccc2c(c1)CC2,1,"bicyclo[4.2.0]octa-1,3,5-triene"
c1ccc2c(c1)Cc1[nH]c3ccccc3c1C2,1,chemical name not found
C1=C\CCOC/C=C/C=C/CC/C=C/CC/C=C/1,1,chemical name not found
C1=CC2CC[C@@H]3C4CCCCC4=CC[C@H]3[C@@H]2C1,1,chemical name not found
c1nnco1,1,"1,3,4-oxadiazole"
C1C[N+]2CC[N+]3CC[N+]4CC[N+]1[Gd-]243,1,chemical name not found
C1CCCCCNCC[C@@H]2OC2CCCCC1,1,chemical name not found
c1cc2c3c(c1)O[C@H]1CCCC4[C@@H](C2)[N+]CC[C@@]341,1,chemical name not found
C1=CC2C(=CC1)CC[C@@H]1C2CCC2CCC[C@H]21,1,chemical name not found
C1=CNC=CC1,1,"1,4-dihydropyridine"
c1ccc2c(c1)CCN1CCCCC21,1,chemical name not found
C1CNCNC1,1,"1,3-diazinane"
c1ccc2c(c1)CCCCN2,1,"2,3,4,5-tetrahydro-1h-1-benzazepine"
C1CCCNCC1,1,azepane
C1C[C@@H]2C[C@@H]2N1,1,chemical name not found
c1ccc2c(c1)Oc1ccccc1C1CNCC21,1,chemical name not found
c1cnc2ncncc2n1,1,pteridine
C1=C/[C@@H]2CCNCCN[C@@H](CNCCNCCO2)CSSCC/1,1,chemical name not found
C1=C2CCC3CC[C@H]4OCC4[C@H]3CC(CC1)C2,1,chemical name not found
c1ccc2c(c1)CCn1ccnc1C2,1,"6,11-dihydro-5h-imidazo[1,2-c][3]benzazepine"
C1C[C@@H]2C[C@H]1[C@H]1CNC[C@@H]21,1,chemical name not found
c1ncsn1,1,"1,2,4-thiadiazole"
C1C[C@H]2C[C@@H]3OCC[C@H]3CCC[C@H]3CC[C@@H]4O[C@H]5[C@H]6O[C@]7(CC[C@H]8CC[C@H](CC[C@@H](C1)O2)O8)C[C@@H]6O[C@H]5[C@@H](O7)[C@H]4O3,1,chemical name not found
c1[nH]nc2c1[C@H]1C[C@H]1C2,1,chemical name not found
